epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.088,1.25581,1.63435,1.24015,0.53784,0.58534,0.61447,0.4307,1.16025,1.48146,1.31798,3.09524e-05,3.09524e-05,0.0690786
2,74.957,1.2641,1.44396,1.17591,0.62369,0.55254,0.5919,0.43769,1.10215,1.42085,1.28945,5.79214e-05,5.79214e-05,0.0357722
3,110.652,1.21997,1.39922,1.19077,0.65903,0.5396,0.60529,0.45096,1.04712,1.34607,1.24855,7.82905e-05,7.82905e-05,0.00245924
4,147.648,1.22042,1.42245,1.18816,0.65475,0.53345,0.62599,0.46971,1.0187,1.30738,1.23201,7.03e-05,7.03e-05,7.03e-05
5,181.851,1.19425,1.36397,1.19028,0.68098,0.54204,0.63633,0.48171,1.01207,1.30917,1.23476,6.04e-05,6.04e-05,6.04e-05
6,219.954,1.16816,1.37194,1.16812,0.63833,0.5321,0.63092,0.47982,1.01272,1.3132,1.23787,5.05e-05,5.05e-05,5.05e-05
7,257.506,1.14757,1.28814,1.15138,0.66152,0.53314,0.63476,0.48663,1.00951,1.2996,1.2381,4.06e-05,4.06e-05,4.06e-05
8,294.747,1.14488,1.25628,1.14973,0.66426,0.52035,0.64075,0.49428,1.00511,1.29554,1.23418,3.07e-05,3.07e-05,3.07e-05
9,329.963,1.16965,1.26006,1.18335,0.64878,0.52465,0.63869,0.49366,1.00311,1.28866,1.23314,2.08e-05,2.08e-05,2.08e-05
10,364.996,1.15129,1.27665,1.17223,0.6463,0.53049,0.63886,0.49315,1.00202,1.28913,1.23425,1.09e-05,1.09e-05,1.09e-05
