Method,Silhouette_Score
Layer1,0.7172080600918237
Layer1,0.7061518848183573
Layer1,0.6561881034992054
Layer1,0.6922163919730503
Layer1,0.6792936048065867
Layer1,0.6629641481000819
Layer1,0.6543657726736045
Layer1,0.6918458048744777
Layer1,0.7016050602159813
Layer1,0.6976133637047239
Layer1,0.6836834288967769
Layer1,0.6738296604078367
Layer1,0.6700627763676585
Layer1,0.6786967881108109
Layer1,0.6691388959375854
Layer1,0.6857345069740026
Layer1,0.6893422583206252
Layer1,0.6718802367011207
Layer1,0.6851589973113997
Layer1,0.674593599230232
Layer1,0.689710551894959
Layer1,0.6999417541590945
Layer1,0.6933625046789752
Layer1,0.6992430174898205
Layer1,0.6567597084478425
Layer1,0.6822260700284298
Layer1,0.6953347875346158
Layer1,0.7026232491918266
Layer1,0.6578399327451978
Layer1,0.69298356507636
Layer1,0.7139284129706326
Layer1,0.6862277860837563
Layer1,0.6879048377704653
Layer1,0.6988091376405202
Layer1,0.6947423636791491
Layer1,0.7032927470051709
Layer1,0.6912482772816981
Layer1,0.6928499214070544
Layer1,0.6741511112571793
Layer1,0.686391242772758
Layer1,0.714862440745373
Layer1,0.6857166048868139
Layer1,0.686428714410374
Layer1,0.6799699325616098
Layer1,0.7055437176488143
Layer1,0.6727064184467443
Layer1,0.7080100439010409
Layer1,0.6710605321147907
Layer1,0.6686443774971342
Layer1,0.6939187892418822
Layer1,0.6924035893920362
Layer1,0.6957511460602781
Layer1,0.711050742417788
Layer1,0.6815500806959937
Layer1,0.6986598718578789
Layer1,0.6716036546930161
Layer1,0.7149833805939775
Layer1,0.7024491733284003
Layer1,0.7005303753070647
Layer1,0.6935575698261957
Layer1,0.6740880111172187
Layer1,0.6832525687666522
Layer1,0.6998355892365002
Layer1,0.6894163176092771
Layer1,0.6922748932494318
Layer1,0.6626036098639658
Layer1,0.6934218795975249
Layer1,0.675961452197182
Layer1,0.6681332689249545
Layer1,0.686706292209609
Layer1,0.6526699149477476
Layer1,0.7037713998081219
Layer1,0.7068402579538249
Layer1,0.6887312780150657
Layer1,0.6699243565089619
Layer1,0.670892623591722
Layer1,0.6867775389306352
Layer1,0.6413253253766089
Layer1,0.6934095356614871
Layer1,0.7030886404796015
Layer1,0.6835621030296827
Layer1,0.679911952611808
Layer1,0.6934393451713732
Layer1,0.6968128813407979
Layer1,0.711683035037318
Layer1,0.690167933584263
Layer1,0.6760048469693231
Layer1,0.680574699080553
Layer1,0.6934389148372017
Layer1,0.7209240074999386
Layer1,0.6833945339042461
Layer1,0.6687494668119733
Layer1,0.672397867597346
Layer1,0.6478733078755369
Layer1,0.6963958799536208
Layer1,0.662573514214356
Layer1,0.6651298094477484
Layer1,0.6502797077169059
Layer1,0.6674402324083395
Layer1,0.7011682895387563
Layer1,0.6814460778589203
Layer1,0.675952802162214
Layer1,0.6593829253096429
Layer1,0.7083743623081787
Layer1,0.6911354482094939
Layer1,0.6945832164919115
Layer1,0.7041105317749604
Layer1,0.6785298300432367
Layer1,0.6478350602631667
