image_id,confidence,iou_to_best_gt,iou_disparity,category_id,action_taken
9,0.0,0.0,1.0,-1,reannotate_fn
9,0.0,0.0,1.0,-1,reannotate_fn
9,0.0,0.0,1.0,-1,reannotate_fn
9,0.0,0.0,1.0,-1,reannotate_fn
9,0.0,0.0,1.0,-1,reannotate_fn
25,0.0,0.0,1.0,-1,reannotate_fn
30,0.0,0.0,1.0,-1,reannotate_fn
42,0.0,0.0,1.0,-1,reannotate_fn
49,0.0,0.0,1.0,-1,reannotate_fn
49,0.0,0.0,1.0,-1,reannotate_fn
49,0.0,0.0,1.0,-1,reannotate_fn
49,0.0,0.0,1.0,-1,reannotate_fn
49,0.0,0.0,1.0,-1,reannotate_fn
61,0.0,0.0,1.0,-1,reannotate_fn
61,0.0,0.0,1.0,-1,reannotate_fn
61,0.0,0.0,1.0,-1,reannotate_fn
61,0.0,0.0,1.0,-1,reannotate_fn
61,0.0,0.0,1.0,-1,reannotate_fn
64,0.0,0.0,1.0,-1,reannotate_fn
64,0.0,0.0,1.0,-1,reannotate_fn
71,0.606,0.011,0.989,7,mine_hard_negative
71,0.0,0.0,1.0,-1,reannotate_fn
71,0.0,0.0,1.0,-1,reannotate_fn
71,0.0,0.0,1.0,-1,reannotate_fn
71,0.0,0.0,1.0,-1,reannotate_fn
71,0.0,0.0,1.0,-1,reannotate_fn
71,0.0,0.0,1.0,-1,reannotate_fn
71,0.0,0.0,1.0,-1,reannotate_fn
71,0.0,0.0,1.0,-1,reannotate_fn
71,0.0,0.0,1.0,-1,reannotate_fn
71,0.0,0.0,1.0,-1,reannotate_fn
71,0.0,0.0,1.0,-1,reannotate_fn
71,0.0,0.0,1.0,-1,reannotate_fn
71,0.0,0.0,1.0,-1,reannotate_fn
73,0.0,0.0,1.0,-1,reannotate_fn
74,0.52,0.363,0.637,1,mine_hard_negative
74,0.0,0.0,1.0,-1,reannotate_fn
74,0.0,0.0,1.0,-1,reannotate_fn
74,0.0,0.0,1.0,-1,reannotate_fn
74,0.0,0.0,1.0,-1,reannotate_fn
74,0.0,0.0,1.0,-1,reannotate_fn
74,0.0,0.0,1.0,-1,reannotate_fn
77,0.0,0.0,1.0,-1,reannotate_fn
77,0.0,0.0,1.0,-1,reannotate_fn
77,0.0,0.0,1.0,-1,reannotate_fn
77,0.0,0.0,1.0,-1,reannotate_fn
77,0.0,0.0,1.0,-1,reannotate_fn
78,0.862,0.0,1.0,76,mine_hard_negative
86,0.0,0.0,1.0,-1,reannotate_fn
89,0.0,0.0,1.0,-1,reannotate_fn
89,0.0,0.0,1.0,-1,reannotate_fn
89,0.0,0.0,1.0,-1,reannotate_fn
89,0.0,0.0,1.0,-1,reannotate_fn
89,0.0,0.0,1.0,-1,reannotate_fn
94,0.0,0.0,1.0,-1,reannotate_fn
109,0.0,0.0,1.0,-1,reannotate_fn
109,0.0,0.0,1.0,-1,reannotate_fn
109,0.0,0.0,1.0,-1,reannotate_fn
109,0.0,0.0,1.0,-1,reannotate_fn
109,0.0,0.0,1.0,-1,reannotate_fn
109,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
110,0.0,0.0,1.0,-1,reannotate_fn
113,0.0,0.0,1.0,-1,reannotate_fn
113,0.0,0.0,1.0,-1,reannotate_fn
113,0.0,0.0,1.0,-1,reannotate_fn
113,0.0,0.0,1.0,-1,reannotate_fn
113,0.0,0.0,1.0,-1,reannotate_fn
113,0.0,0.0,1.0,-1,reannotate_fn
113,0.0,0.0,1.0,-1,reannotate_fn
113,0.0,0.0,1.0,-1,reannotate_fn
113,0.0,0.0,1.0,-1,reannotate_fn
113,0.0,0.0,1.0,-1,reannotate_fn
113,0.0,0.0,1.0,-1,reannotate_fn
127,0.0,0.0,1.0,-1,reannotate_fn
127,0.0,0.0,1.0,-1,reannotate_fn
127,0.0,0.0,1.0,-1,reannotate_fn
127,0.0,0.0,1.0,-1,reannotate_fn
127,0.0,0.0,1.0,-1,reannotate_fn
127,0.0,0.0,1.0,-1,reannotate_fn
127,0.0,0.0,1.0,-1,reannotate_fn
127,0.0,0.0,1.0,-1,reannotate_fn
127,0.0,0.0,1.0,-1,reannotate_fn
127,0.0,0.0,1.0,-1,reannotate_fn
127,0.0,0.0,1.0,-1,reannotate_fn
127,0.0,0.0,1.0,-1,reannotate_fn
133,0.0,0.0,1.0,-1,reannotate_fn
136,0.0,0.0,1.0,-1,reannotate_fn
138,0.727,0.463,0.537,70,mine_hard_negative
138,0.58,0.0,1.0,40,mine_hard_negative
138,0.0,0.0,1.0,-1,reannotate_fn
138,0.0,0.0,1.0,-1,reannotate_fn
138,0.0,0.0,1.0,-1,reannotate_fn
138,0.0,0.0,1.0,-1,reannotate_fn
142,0.719,0.152,0.848,40,mine_hard_negative
142,0.531,0.359,0.641,61,mine_hard_negative
142,0.0,0.0,1.0,-1,reannotate_fn
142,0.0,0.0,1.0,-1,reannotate_fn
142,0.0,0.0,1.0,-1,reannotate_fn
143,0.0,0.0,1.0,-1,reannotate_fn
143,0.0,0.0,1.0,-1,reannotate_fn
143,0.0,0.0,1.0,-1,reannotate_fn
143,0.0,0.0,1.0,-1,reannotate_fn
144,0.649,0.328,0.672,24,mine_hard_negative
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
149,0.0,0.0,1.0,-1,reannotate_fn
151,0.0,0.0,1.0,-1,reannotate_fn
151,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
164,0.0,0.0,1.0,-1,reannotate_fn
